,ST_NM,ST_CEN_CD,DT_CEN_CD,DISTRICT,DISTRICT_2,ST_NM_2,ST_CEN_CD_,DT_CEN_CD_,censuscode,T J_STNM01,T J_DISTRI,join_code,T J_Name01,T J_Pop01,T J_DIST_1,T J_CM11,T J_Name11,T J_Code11,T J_Pop11,divide_01
0,Andhra Pradesh,28,01,Adilabad,Adilabad,Andhra Pradesh,28,1,532,Andhra Pradesh,Adilabad,28_1,District - Adilabad 01,2488003.0,Adilabad,28_1,Adilabad,28_532,2741239,1.0
1,Uttar Pradesh,09,15,Agra,Agra,Uttar Pradesh,9,15,146,Uttar Pradesh,Agra,9_15,District - Agra 15,3620436.0,Agra,9_15,Agra,9_146,4418797,1.0
2,Gujarat,24,07,Ahmadabad,Ahmadabad,Gujarat,24,7,474,Gujarat,Ahmadabad,24_7,District - Ahmadabad 07,5816519.0,Ahmadabad,24_7,Ahmadabad,24_474,7214225,1.0
3,Maharashtra,27,26,Ahmadnagar,Ahmadnagar,Maharashtra,27,26,522,Maharashtra,Ahmadnagar,27_26,District - Ahmadnagar 26,4040642.0,Ahmadnagar,27_26,Ahmadnagar,27_522,4543159,1.0
4,Mizoram,15,03,Aizawl,Aizawl,Mizoram,15,3,283,Mizoram,Aizawl,15_3,District - Aizawl 03,325676.0,Aizawl,15_3,Aizawl,15_283,400309,1.0
5,Rajasthan,08,21,Ajmer,Ajmer,Rajasthan,8,21,119,Rajasthan,Ajmer,8_21,District - Ajmer 21,2181670.0,Ajmer,8_21,Ajmer,8_119,2583052,1.0
6,Maharashtra,27,05,Akola,Akola,Maharashtra,27,5,501,Maharashtra,Akola,27_5,District - Akola 05,1630239.0,Akola,27_5,Akola,27_501,1813906,1.0
7,Kerala,32,11,Alappuzha,Alappuzha,Kerala,32,11,598,Kerala,Alappuzha,32_11,District - Alappuzha 11,2109160.0,Alappuzha,32_11,Alappuzha,32_598,2127789,1.0
8,Uttar Pradesh,09,12,Aligarh,Aligarh,Uttar Pradesh,9,12,143,Uttar Pradesh,Aligarh,9_12,District - Aligarh 12,2992286.0,Aligarh,9_12,Aligarh,9_143,3673889,1.0
9,Madhya Pradesh,23,24,Jhabua,Alirajpur,Madhya Pradesh,23,48,465,Madhya Pradesh,Jhabua,23_24,District - Jhabua 24,697280.5,Alirajpur,23_48,Alirajpur,23_465,728999,0.5
10,Uttar Pradesh,09,45,Allahabad,Allahabad,Uttar Pradesh,9,44,175,Uttar Pradesh,Allahabad,9_45,District - Allahabad 45,4936105.0,Allahabad,9_44,Allahabad,9_175,5954391,1.0
11,Uttarakhand,05,09,Almora,Almora,Uttarakhand,5,9,64,Uttarakhand,Almora,5_9,District - Almora 09,630567.0,Almora,5_9,Almora,5_64,622506,1.0
12,Rajasthan,08,06,Alwar,Alwar,Rajasthan,8,6,104,Rajasthan,Alwar,8_6,District - Alwar 06,2992592.0,Alwar,8_6,Alwar,8_104,3674179,1.0
